Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
SNEA.SG03NAC12D21Z,1987.03,1501,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1988.03,3381,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1989.03,3522,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1990.03,4459,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1991.03,4812,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1992.03,4775,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1993.03,4899,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1994.03,5257,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1995.03,5797,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1996.03,6203,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1997.03,6480,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1998.03,6705,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,1999.03,6840,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2000.03,7312,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2001.03,7571,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2002.03,8097,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2003.03,8832,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2004.03,9551,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2005.03,10245,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2006.03,10788,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2007.03,11557,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2008.03,12207,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2009.03,12193,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2010.03,12328,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2011.03,13929,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2012.03,15873,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2013.03,16320,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2014.03,17024,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2015.03,17889,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2016.03,19099,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2017.03,20832,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2018.03,21961,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2019.03,22929,REVISED,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D21Z,2020.03,24030,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",GST,Total,,,
SNEA.SG03NAC12D22Z,1987.03,570,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1988.03,847,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1989.03,507,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1990.03,604,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1991.03,556,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1992.03,514,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1993.03,553,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
SNEA.SG03NAC12D22Z,1994.03,616,FINAL,Dollars,6,National Accounts - SNA 2008 - SNE,"Series, GDP(I), Nominal, Actual, Tax type",Import duties,Total,,,
